,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],0.6249310264855132,1.076206846019782,0.28251131291443343,80.08241758241758,68.23687752355316,91.38418079096046,0.7661157879147034,0.6354224033607974,16,32,0.001
1,['subject102' 'subject107'],0.7330569558582463,0.9159543085975054,2.4761071904631686,77.1978021978022,72.56011315417256,75.27548209366391,0.734300915278994,0.7070454453278073,4,32,0.001
2,['subject102' 'subject107'],0.7683267417609346,1.1162862841181762,0.5991708043525958,75.13736263736264,67.27785613540198,84.62068965517241,0.7273008635311052,0.6698756258969834,6,32,0.001
3,['subject105' 'subject108'],2.5263384762940824,0.49769449427577794,0.33648487037712044,64.73755047106326,82.07282913165267,91.46853146853147,0.6865605074590068,0.8048853320234045,16,32,0.001
4,['subject105' 'subject108'],2.0743184427468764,0.7534742720833675,0.37643887631358935,60.02691790040377,81.38528138528139,94.6933149552033,0.6361418276361559,0.8021549891980702,12,32,0.001
5,['subject105' 'subject108'],4.410217466978494,0.5147492173765982,0.2897730591920732,48.18304172274563,85.75305291723203,91.32906894100924,0.5112788768066124,0.8369410860781529,20,32,0.001
6,['subject103' 'subject106'],1.0715056609841858,0.7199395450576639,0.3105383898204785,66.9024045261669,75.50471063257066,89.90953375086987,0.6738542309958242,0.7577733907176332,16,32,0.001
7,['subject103' 'subject106'],0.7454371795458706,0.3880394328728441,0.48374316301556003,82.03677510608203,89.83516483516483,83.81542699724518,0.7963981129966817,0.8884257578779012,14,32,0.001
8,['subject103' 'subject106'],0.6639759246328427,1.5763909153230435,0.41752599182783706,80.05657708628006,61.636107193229904,87.96736913664174,0.7865946917283075,0.6189227301615767,7,32,0.001
9,['subject101' 'subject104'],0.8409768792541832,0.8752722109251834,0.4512592701223087,76.3046544428773,73.93617021276596,87.16690042075736,0.7382244602245767,0.7129918861227956,9,32,0.001
10,['subject101' 'subject104'],0.9645215536038193,1.0072938883572482,1.7668199905919832,66.99576868829337,69.66292134831461,70.12278308321964,0.655968451245825,0.6686013023545373,2,32,0.001
11,['subject101' 'subject104'],0.5611213674172444,0.7594837453685889,0.5557354037227527,81.10014104372355,74.2296918767507,87.1584699453552,0.8122623261177293,0.7252226502898685,10,32,0.001
