,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],1.6320582156652932,1.6678642977936593,1.584249924565995,42.30769230769231,38.89636608344549,40.72970960536113,0.2996123356751459,0.2984134123542033,16,32,0.001
1,['subject102' 'subject107'],1.8045995576041085,1.8851237794466031,1.7879239526806052,22.52747252747253,19.801980198019802,32.05038488453464,0.15785046333556324,0.14566863040250677,20,32,0.001
2,['subject102' 'subject107'],1.9030713091839802,1.9265962121180653,1.7796771557300122,32.417582417582416,32.15796897038082,30.690362269309638,0.20864375095421298,0.22189827806065046,20,32,0.001
3,['subject105' 'subject108'],1.8575617029240121,1.7897730043956213,1.9039470887702443,35.93539703903095,38.93557422969187,36.15942028985507,0.21718403462885633,0.2537331441550698,20,32,0.001
4,['subject105' 'subject108'],1.8467350625414225,1.8604048138745075,1.8940685541289193,32.83983849259758,29.87012987012987,35.142857142857146,0.21463713096399978,0.1989605989299409,6,32,0.001
5,['subject105' 'subject108'],1.9559555036062186,1.9279474804488743,1.9916694763748126,31.89771197846568,32.293080054274085,29.382183908045977,0.21840828136925772,0.22109377891947307,11,32,0.001
6,['subject103' 'subject106'],1.8835628552011925,1.9329340143447609,1.904608769803619,34.65346534653465,33.51278600269179,32.30437903804738,0.2423319802391844,0.23774983268890643,19,32,0.001
7,['subject103' 'subject106'],1.7091233248926456,1.575183743958945,1.998176332716327,38.04809052333805,43.81868131868132,32.47386759581882,0.29007513764125686,0.3160427797607989,15,32,0.001
8,['subject103' 'subject106'],1.8677328736475198,1.974012697869531,1.883195736978808,30.975954738330977,27.64456981664316,33.547008547008545,0.17061509693925653,0.15073055903648008,20,32,0.001
9,['subject101' 'subject104'],2.1227046743939053,2.07324211014078,2.0186508939236023,27.221438645980253,28.324468085106382,26.64890073284477,0.16865511225179144,0.16526098193691527,10,32,0.001
10,['subject101' 'subject104'],1.9668392291021952,1.8839793352598555,1.851607204054351,34.97884344146686,35.81460674157304,34.67852257181943,0.2175605299067321,0.20854621965513948,16,32,0.001
11,['subject101' 'subject104'],1.7817867343617426,1.5583189548898477,1.6939175580474415,38.081805359661494,44.67787114845938,38.299367533380185,0.30653787209847316,0.34715214153397156,14,32,0.001
