,Test Subjects,Batch_Size,Learning_Rate,Epoch_Results
0,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.235), np.float64(1.535), np.float64(1.776), np.float64(1.986), np.float64(2.177), np.float64(2.353), np.float64(2.518), np.float64(2.674), np.float64(2.822), np.float64(2.964), np.float64(3.101), np.float64(3.232), np.float64(3.359), np.float64(3.483)], 'train_loss': [2.411231483913894, 1.5208726429002253, 1.3715892680950532, 1.2947289395298898, 1.3598081474845818, 1.223979877308011, 1.2921049200966592, 1.1554907100287073, 1.2302250216404598, 1.1206267512529133, 1.1141256996126838, 1.1038995673170462, 1.1419868673216713, 1.1694721689867322], 'train_acc': [22.364672364672366, 43.59534206695779, 47.75481111903065, 53.71669004207573, 53.82331106161841, 60.208333333333336, 61.22307157748436, 63.61051883439943, 61.111111111111114, 64.65324384787472, 66.00732600732601, 66.02608098833218, 64.19308357348703, 64.8493543758967], 'val_loss': [1.7859786291623019, 1.7787727061383336, 1.3982004886681105, 1.2356745502027817, 1.420882456556143, 1.3744767249673404, 1.3173057270082138, 1.550402885009591, 1.3742959314849463, 1.3317807505300838, 1.3216489280698116, 1.345609906383992, 1.3407345796818688, 1.3343707708137995], 'val_acc': [33.91655450874832, 27.456258411843876, 54.50874831763122, 56.39300134589502, 49.39434724091521, 54.91251682368775, 54.50874831763122, 54.77792732166891, 58.681022880215345, 59.084791386271874, 58.277254374158815, 58.546433378196504, 58.411843876177656, 58.411843876177656], 'val_f1': [0.24429069652478672, 0.1816008846930606, 0.42385046070795274, 0.4443676184958696, 0.34099843537395547, 0.42491979177502426, 0.4261551709473506, 0.42806769745980655, 0.47627711382111665, 0.4744026062498782, 0.4668687243022521, 0.4670655529797703, 0.46623693250759835, 0.46664696684666085]}"
1,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'val_subjects': array(['subject103', 'subject106'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.218), np.float64(1.514), np.float64(1.752), np.float64(1.96), np.float64(2.148), np.float64(2.322), np.float64(2.485), np.float64(2.639), np.float64(2.786), np.float64(2.926), np.float64(3.06), np.float64(3.19), np.float64(3.316), np.float64(3.438), np.float64(3.556), np.float64(3.672), np.float64(3.784), np.float64(3.894), np.float64(4.002)], 'train_loss': [3.628397700598492, 1.6942692833642166, 1.5087026035643858, 1.4516890894417351, 1.5316831000689444, 1.4114899618331258, 1.39691800124576, 1.314682361367461, 1.2379537955231024, 1.149768366627601, 1.181463213981612, 1.104038737693878, 1.1507503552286156, 1.042946602939833, 0.9482005775791325, 1.0589924483147477, 1.2262528289350674, 0.9656206488196825, 1.0466381437806698], 'train_acc': [22.7242076871207, 42.22222222222222, 48.91532540237929, 50.45691906005222, 53.89876880984952, 56.580732700135684, 58.60904794058069, 59.60355434039644, 64.05919661733616, 67.67955801104972, 66.49892163910856, 69.17808219178082, 70.03717472118959, 69.73595125253892, 72.94520547945206, 71.08753315649868, 67.9136690647482, 73.63321799307958, 73.11977715877437], 'val_loss': [1.814662727557618, 1.6113652495042945, 1.4365437453167442, 1.5638265794372288, 1.673026864534136, 1.3784401740093717, 1.4840022718383703, 1.3650756766216083, 1.1771796592307058, 1.4116105144735442, 1.3190211978921458, 1.2754587582305938, 1.2472215495908783, 1.315849419340723, 1.2814579168611233, 1.2819852903485298, 1.2450745394914458, 1.248375123058468, 1.2541940932332036], 'val_acc': [42.857142857142854, 38.75530410183875, 48.23196605374823, 49.222065063649225, 48.373408769448375, 54.17256011315417, 54.03111739745403, 59.83026874115983, 65.62942008486563, 61.386138613861384, 58.981612446958984, 66.05374823196605, 65.91230551626592, 64.07355021216408, 66.19519094766619, 67.04384724186704, 67.75106082036775, 67.75106082036775, 67.89250353606789], 'val_f1': [0.25468261150001464, 0.2937652813387199, 0.32410647698617334, 0.3325748517718199, 0.31915510193221047, 0.3885695798786071, 0.3990439598847895, 0.47367149571357064, 0.5292511391501713, 0.47450108311837147, 0.47640126554713924, 0.5330224958159043, 0.5419629969069856, 0.5187441171637583, 0.5387297324421939, 0.5454456237759333, 0.5496187478645856, 0.5493909328803648, 0.5507750583876949]}"
2,['subject102' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.218), np.float64(1.514), np.float64(1.752), np.float64(1.96), np.float64(2.148), np.float64(2.322), np.float64(2.485), np.float64(2.639), np.float64(2.786), np.float64(2.926), np.float64(3.06), np.float64(3.19), np.float64(3.316), np.float64(3.438), np.float64(3.556), np.float64(3.672), np.float64(3.784)], 'train_loss': [3.3846233573349767, 1.7109873036990004, 1.5728764379910913, 1.5154287048575845, 1.4211244651017694, 1.2954777918049745, 1.1592052135984976, 1.1425130637523813, 1.1050821823477328, 1.024950330506679, 1.0593308587522872, 1.003192720332388, 0.9891717349572039, 0.9818904212140661, 0.9981938285643862, 0.9909228820936374, 1.0191984788191135], 'train_acc': [22.36198462613557, 34.550561797752806, 42.32105628908965, 46.517917511832316, 50.931232091690546, 56.60881174899866, 63.18681318681319, 65.11318242343542, 65.75821104122991, 69.04276985743381, 69.33797909407666, 69.89830508474576, 72.75747508305648, 70.2219040801718, 71.69167803547067, 72.17332430602573, 70.46413502109705], 'val_loss': [1.8829940910568022, 1.7750122194481837, 1.694885643669345, 1.6995949251590394, 1.6130759931249579, 1.587990670912861, 1.3090904818372262, 1.3873556507685667, 1.4188976631314614, 1.6353693507048228, 1.4375305773837463, 1.4514211159306531, 1.4501978896480456, 1.4302739784210508, 1.4702487355456078, 1.469997416732817, 1.4671748428072187], 'val_acc': [34.132581100141046, 34.83779971791255, 41.889985895627646, 45.55712270803949, 52.46826516220028, 53.4555712270804, 61.636107193229904, 58.53314527503526, 61.071932299012694, 58.53314527503526, 61.212976022567, 61.636107193229904, 61.071932299012694, 61.4950634696756, 60.507757404795484, 60.78984485190409, 60.93088857545839], 'val_f1': [0.18665757010368067, 0.2319066776268801, 0.30974877687788194, 0.3234640845745877, 0.385695334229441, 0.39632516971741527, 0.5132278376777172, 0.46617599394543074, 0.4932389515283787, 0.4655162093641311, 0.4914041727519669, 0.4959316160829614, 0.48982426810720847, 0.5008660715389063, 0.48736306625363823, 0.4898045809837402, 0.4914328644619791]}"
3,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'val_subjects': array(['subject106', 'subject107'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.235), np.float64(1.535), np.float64(1.776), np.float64(1.986), np.float64(2.177), np.float64(2.353), np.float64(2.518), np.float64(2.674), np.float64(2.822), np.float64(2.964), np.float64(3.101), np.float64(3.232), np.float64(3.359), np.float64(3.483), np.float64(3.603)], 'train_loss': [3.140020923049742, 1.6937433237965043, 1.449584065410106, 1.3848384175694088, 1.1491636420027507, 1.1082845497354168, 1.0735477310150965, 1.1206445611770386, 1.1440303231562294, 1.0261126522632207, 1.1035105960854745, 1.0462543737976107, 1.0672968543884767, 1.0498358930485565, 0.946538094705495], 'train_acc': [20.995962314939433, 39.7972972972973, 45.72010869565217, 52.176738141650425, 60.48502139800285, 65.62082777036048, 68.3044982698962, 69.90489130434783, 71.34909596662031, 72.20588235294117, 70.68843151171043, 71.3520749665328, 71.77597641857038, 72.10787792760823, 74.8107364074329], 'val_loss': [2.0977258976100206, 1.6113669855587958, 1.6093675924950288, 1.2727638786079503, 1.1578376036481697, 1.4842547725061743, 1.4246027234221708, 1.4857363457940205, 1.6022349037543064, 1.6388853678599793, 1.5531495349580835, 1.5999698069583135, 1.5353103122707843, 1.539077738607798, 1.543734160040607], 'val_acc': [25.07002801120448, 44.25770308123249, 42.57703081232493, 56.86274509803921, 60.08403361344538, 52.24089635854342, 55.04201680672269, 61.484593837535016, 61.34453781512605, 61.62464985994398, 62.18487394957983, 62.88515406162465, 62.60504201680672, 63.16526610644258, 63.16526610644258], 'val_f1': [0.140025404663821, 0.3413072284133053, 0.30030845538781087, 0.45026192574293367, 0.47603618606823284, 0.42147602906236736, 0.4234537147241091, 0.4811756277335798, 0.4893977930779543, 0.49289206529833796, 0.4954003596528883, 0.5019020998546739, 0.5001758333987223, 0.5055037350772672, 0.5052394554523738]}"
4,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'val_subjects': array(['subject101', 'subject103'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.218), np.float64(1.514), np.float64(1.752), np.float64(1.96), np.float64(2.148), np.float64(2.322), np.float64(2.485), np.float64(2.639), np.float64(2.786), np.float64(2.926), np.float64(3.06), np.float64(3.19), np.float64(3.316), np.float64(3.438)], 'train_loss': [3.101802774284125, 1.5889361280973266, 1.3232870880876038, 1.275900032873014, 1.1402469785835794, 1.0755039239269135, 1.0507664907496546, 1.025479645996916, 0.9389539372961537, 1.0262466052004209, 1.0167741562518697, 0.9611665910405387, 1.0126668537451216, 1.0016397025702064], 'train_acc': [27.474048442906575, 47.95918367346939, 58.72369314324508, 57.152826238660154, 61.091672498250524, 64.34163701067615, 64.61107217939734, 67.73350751143043, 73.19727891156462, 71.41848976711363, 70.90395480225989, 73.4386216798277, 71.00550964187327, 72.53064167267483], 'val_loss': [1.920468524506942, 1.6876937738400688, 1.6872437659860688, 1.3870407935731854, 1.4780404059939398, 1.465218083876552, 1.522336832426413, 1.4664668626491986, 1.537441450301531, 1.6181310826393778, 1.6530082087001587, 1.6177488720907278, 1.6194976160751622, 1.6233787315791475], 'val_acc': [32.03463203463203, 45.743145743145746, 39.682539682539684, 49.63924963924964, 51.94805194805195, 52.23665223665223, 53.39105339105339, 56.85425685425685, 56.998556998557, 56.70995670995671, 57.142857142857146, 57.72005772005772, 57.72005772005772, 57.287157287157285], 'val_f1': [0.21209624810888883, 0.33886906336082756, 0.2640494207422902, 0.4278615625191189, 0.4101527402111273, 0.4058424380263401, 0.42492227085543943, 0.47952200644841453, 0.48375737323768686, 0.4817367718904255, 0.48288040022364787, 0.4883437721933333, 0.4883437721933333, 0.4860269354233605]}"
5,['subject105' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'val_subjects': array(['subject102', 'subject104'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.252), np.float64(1.556), np.float64(1.8), np.float64(2.013), np.float64(2.207), np.float64(2.385), np.float64(2.552), np.float64(2.71), np.float64(2.86), np.float64(3.004), np.float64(3.142), np.float64(3.276), np.float64(3.405), np.float64(3.53), np.float64(3.651), np.float64(3.77), np.float64(3.885), np.float64(3.998), np.float64(4.109)], 'train_loss': [4.794020021182835, 1.6659204148921838, 1.6896917427437645, 1.4940590090712402, 1.4201261019541158, 1.373634294496574, 1.2379141346124756, 1.1200508481726563, 1.0637583474708305, 1.0636163476833516, 1.125962920076265, 1.1221719597312185, 0.9841238767146718, 1.0291019077506758, 1.0818696264151288, 1.0132357232636453, 1.0199375522069434, 1.07948050738514, 1.0440790653650591], 'train_acc': [21.041369472182595, 39.863945578231295, 42.642857142857146, 47.05075445816187, 52.638888888888886, 52.31447465099192, 57.5673807878369, 64.22413793103448, 67.18092566619916, 68.78531073446328, 67.35862562634216, 68.27338129496403, 72.11328976034858, 73.48643006263048, 71.93229901269393, 73.67303609341826, 73.20169252468266, 72.16564833672777, 74.38075017692852], 'val_loss': [1.8307707232083201, 1.6207749143222618, 1.4237723046436077, 1.4938494767715682, 1.32333188650566, 1.339255263879794, 1.2139703496340333, 1.1263306538803122, 0.9748947610686883, 1.0584954307635732, 1.2339765295851344, 1.0879945564544993, 1.0498246765989947, 1.0762979661087977, 1.0542694421300571, 1.0774946670519288, 1.0702770618845683, 1.0612592274977686, 1.0628372694250687], 'val_acc': [26.594301221166894, 43.419267299864316, 47.62550881953867, 48.0325644504749, 50.203527815468114, 53.595658073270016, 61.601085481682496, 65.5359565807327, 70.5563093622795, 68.52103120759837, 62.279511533242875, 67.70691994572591, 70.69199457259158, 70.14925373134328, 71.37042062415196, 70.5563093622795, 71.64179104477611, 71.77747625508819, 71.77747625508819], 'val_f1': [0.17920303466315085, 0.24718359530202988, 0.3069547010744405, 0.3061925826258523, 0.35925262800347413, 0.38169869635277104, 0.4643461703787206, 0.5295188107163917, 0.5876072018312177, 0.5667060174786316, 0.5506510390061726, 0.583226429475969, 0.6162882598139621, 0.6257360619121066, 0.638134941339194, 0.6304694866194056, 0.6401963850444947, 0.6424696845230172, 0.6424696845230172]}"
6,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'val_subjects': array(['subject104', 'subject105'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.235), np.float64(1.535), np.float64(1.776), np.float64(1.986), np.float64(2.177), np.float64(2.353), np.float64(2.518), np.float64(2.674), np.float64(2.822), np.float64(2.964), np.float64(3.101), np.float64(3.232), np.float64(3.359), np.float64(3.483), np.float64(3.603), np.float64(3.72), np.float64(3.834)], 'train_loss': [2.327288057383751, 1.7784401068802214, 1.5168356429384633, 1.493536617661319, 1.3121115414101623, 1.3385505960948432, 1.2334627585155973, 1.165398484336189, 1.1380892511960623, 1.1778905662585664, 1.1747565132569087, 1.3173359233075266, 1.0885468142541004, 1.0958540605629654, 1.065949970654555, 1.1243720335877818, 1.0799127755243663], 'train_acc': [19.74132062627638, 36.76148796498906, 49.35437589670014, 50.45233124565066, 56.953179594689026, 53.80241648898365, 59.67078189300412, 60.74895977808599, 63.851351351351354, 62.89089645587213, 64.87632508833923, 61.36363636363637, 65.65798733286418, 66.50618982118294, 70.09084556254368, 68.1096681096681, 68.3381088825215], 'val_loss': [2.05139209508575, 1.8075531758017045, 1.8773646779849744, 1.644153744423534, 1.5313715544876467, 1.5007331366494077, 1.3447160263562106, 1.4344597045698204, 1.3566722359663705, 1.462677638912586, 1.5692046088132692, 1.4426082407962908, 1.3718655598757246, 1.3585343399407244, 1.3701150181476394, 1.3701350042348275, 1.3745762262177499], 'val_acc': [29.205921938088828, 32.03230148048452, 32.97442799461642, 43.472409152086136, 43.203230148048455, 48.85598923283984, 53.70121130551817, 53.566621803499324, 55.720053835800805, 51.14401076716016, 53.97039030955585, 56.123822341857334, 60.56527590847914, 60.834454912516826, 60.834454912516826, 60.69986541049798, 60.69986541049798], 'val_f1': [0.1900303279467816, 0.20846562073894753, 0.18236164492716328, 0.31096979274265407, 0.296459337275853, 0.3538835533999619, 0.4688867873097333, 0.42035842934241163, 0.48086423173370835, 0.4242604838476356, 0.4382281729413835, 0.46531173780625656, 0.5177107114638381, 0.5187715203024701, 0.5254525068964884, 0.523474101708541, 0.5253225424595444]}"
7,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': array(['subject102', 'subject107'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.218), np.float64(1.514), np.float64(1.752), np.float64(1.96), np.float64(2.148), np.float64(2.322), np.float64(2.485), np.float64(2.639), np.float64(2.786), np.float64(2.926), np.float64(3.06), np.float64(3.19), np.float64(3.316), np.float64(3.438), np.float64(3.556), np.float64(3.672), np.float64(3.784), np.float64(3.894), np.float64(4.002), np.float64(4.107)], 'train_loss': [3.630423693981807, 1.8699067101682796, 1.6247704156601817, 1.4375306894689082, 1.4860790857029815, 1.3295983204155495, 1.3177848210576948, 1.2139948435734003, 1.19912378411544, 1.2315674776399888, 0.9976322235245454, 1.1672470071010435, 1.0820167959151494, 1.06176396833152, 1.1661219193854115, 1.117904092740575, 1.1523376248863548, 1.0535763990942133, 1.0035636330671847, 0.9558878978242953], 'train_acc': [16.11071682044003, 32.22297756628144, 41.13181504485852, 50.446735395189, 52.929014472777396, 58.47568988173456, 56.93848354792561, 63.08002689979825, 63.01939058171745, 63.19886765746639, 68.42105263157895, 65.73569482288828, 68.87186629526462, 70.40605643496215, 68.67897727272727, 69.79534227240649, 72.67441860465117, 75.0, 74.20249653259361, 75.17099863201095], 'val_loss': [2.1964269208384084, 1.7731110853153271, 1.648793535573142, 1.429828907107259, 1.1988646275067067, 1.2158281648797649, 1.007853408477136, 1.0413388472132303, 0.968730811500451, 0.9136663486178105, 1.1001122829780638, 1.0559915631579666, 0.915261178963132, 0.8438563563369705, 1.2405740399768188, 1.1144530616066122, 1.1477283208303481, 1.1570489300967572, 1.38097434399322, 1.29801500207939], 'val_acc': [30.76923076923077, 37.08791208791209, 42.994505494505496, 52.472527472527474, 63.46153846153846, 61.81318681318681, 69.64285714285714, 67.3076923076923, 68.68131868131869, 71.29120879120879, 67.3076923076923, 67.99450549450549, 73.76373626373626, 77.74725274725274, 69.36813186813187, 69.36813186813187, 68.4065934065934, 66.34615384615384, 64.83516483516483, 65.93406593406593], 'val_f1': [0.18439410379652105, 0.23703786518082615, 0.313881766166057, 0.36913958929852553, 0.4698658003027994, 0.4460362157494314, 0.5563175110079768, 0.5112655826801066, 0.5832088899198344, 0.6139406403507346, 0.5455640353322377, 0.5573869999329453, 0.6196723404290176, 0.7151159710761429, 0.568456050981963, 0.584957867579873, 0.5966408047026226, 0.5712720689878612, 0.5314427252358689, 0.5549513074211647]}"
8,['subject103' 'subject106'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'val_subjects': array(['subject101', 'subject108'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.218), np.float64(1.514), np.float64(1.752), np.float64(1.96), np.float64(2.148), np.float64(2.322), np.float64(2.485), np.float64(2.639), np.float64(2.786), np.float64(2.926), np.float64(3.06), np.float64(3.19), np.float64(3.316), np.float64(3.438), np.float64(3.556), np.float64(3.672), np.float64(3.784), np.float64(3.894), np.float64(4.002)], 'train_loss': [3.3427110274898566, 1.6928336006172455, 1.593282933067857, 1.5187455886053145, 1.3702427972330493, 1.3201346578604733, 1.190310485696056, 1.135235199230869, 1.2565293566729778, 1.1159970047804548, 1.1388634874779273, 1.0520372763372987, 1.0668214223969346, 1.1187062711046454, 1.001416185456556, 0.999310839324588, 1.0892586047041484, 1.0741700935578777, 1.0660411321059158], 'train_acc': [28.361204013377925, 45.09668508287293, 46.94736842105263, 52.96928327645051, 56.13682092555332, 56.087262491203376, 59.57018132975151, 62.72108843537415, 63.91025641025641, 67.36913664174031, 67.6470588235294, 70.67620286085825, 71.81440443213296, 72.14035087719299, 70.83916083916084, 72.27456258411844, 69.67329545454545, 71.54308617234469, 71.38092061374249], 'val_loss': [2.1249752912686137, 1.9301177323368943, 1.7097646602034065, 1.7652223889514993, 1.7479007041820014, 1.630026477096111, 1.6312590753173584, 1.82215283115556, 1.6224239212203848, 1.8095447750215659, 1.9166314139898488, 1.8310556648790375, 1.624793659504214, 1.7088955839194768, 1.7159896210960424, 1.7115669243394993, 1.7440274004917724, 1.7425914479968663, 1.7476236934554257], 'val_acc': [31.734837799717912, 47.249647390691116, 48.66008462623413, 50.352609308885754, 51.33991537376587, 52.04513399153738, 53.03244005641749, 56.41748942172073, 57.96897038081806, 56.558533145275035, 57.122708039492245, 58.39210155148096, 60.93088857545839, 58.956276445698165, 58.81523272214386, 58.956276445698165, 59.23836389280677, 59.23836389280677, 59.09732016925247], 'val_f1': [0.2101562560271122, 0.3006524969393608, 0.31094965820182363, 0.3372884287102833, 0.3447963977299687, 0.3587344797138378, 0.40378043864508534, 0.438842700844778, 0.4620192705776956, 0.4665752429063597, 0.45409399595879407, 0.46740847345328346, 0.5042628356760995, 0.47354611567035, 0.4685050584990451, 0.46905242142221787, 0.4710375053306055, 0.4710766151089592, 0.4696075799150944]}"
9,['subject101' 'subject104'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'val_subjects': array(['subject102', 'subject105'], dtype='<U10'), 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.235), np.float64(1.535), np.float64(1.776), np.float64(1.986), np.float64(2.177), np.float64(2.353), np.float64(2.518), np.float64(2.674), np.float64(2.822), np.float64(2.964), np.float64(3.101), np.float64(3.232)], 'train_loss': [3.1965326130812897, 1.5303895856593062, 1.4494524313974413, 1.3534441352222393, 1.2845220013885168, 1.2887364762269857, 1.1769596669319513, 1.1910151514140042, 1.2494267004212387, 1.1791906477832004, 1.0812480151442672, 1.115331121313161], 'train_acc': [35.319148936170215, 45.0070323488045, 48.85337039610841, 52.3312456506611, 56.29043853342919, 60.117302052785924, 63.445945945945944, 62.05234159779614, 61.50598170302604, 63.19060773480663, 65.7243816254417, 65.86206896551724], 'val_loss': [1.597390423429773, 1.4123561661294166, 1.569710576787908, 1.4298273632501035, 1.8062797977014424, 1.4808655389128846, 1.5695065451349983, 1.654548604041338, 1.482054521428778, 1.5194024645743218, 1.5414285968117258, 1.5442298373326342], 'val_acc': [40.42553191489362, 47.07446808510638, 42.952127659574465, 50.398936170212764, 45.87765957446808, 53.32446808510638, 50.930851063829785, 49.601063829787236, 53.32446808510638, 53.32446808510638, 53.058510638297875, 53.45744680851064], 'val_f1': [0.23742672392647873, 0.2945892657233692, 0.2705413118890015, 0.3450249730916025, 0.30725733850616577, 0.38582320529974173, 0.36754084034481593, 0.3570307850738243, 0.39707258417925506, 0.41153131164164874, 0.41158878395935, 0.41529290003637326]}"
