,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],1.7900825106016882,2.2206229252256904,1.5312812646450973,65.38461538461539,64.33378196500674,72.48088950660181,0.6298352022975523,0.6257020509638727,20,32,0.001
1,['subject102' 'subject107'],1.448512005363847,1.9556681672703933,1.5245799464724397,68.81868131868131,65.34653465346534,70.43010752688173,0.6494674673220568,0.5943265843692768,19,32,0.001
2,['subject102' 'subject107'],1.7032272810337727,2.039904481123664,1.2833945533950526,67.3076923076923,62.90550070521862,73.93860222077073,0.6434446877235791,0.6060083704002568,19,32,0.001
3,['subject105' 'subject108'],2.4293346953343895,2.0711819172761188,1.5756605652363405,55.45087483176312,61.76470588235294,70.0,0.49976000871558524,0.5425894071073836,20,32,0.001
4,['subject105' 'subject108'],2.3749892987200583,2.5546211935095973,2.070399069174318,52.75908479138627,51.515151515151516,57.905686546463244,0.501758165376866,0.44879179179804124,5,32,0.001
5,['subject105' 'subject108'],1.7933573685066266,1.9958880811404018,1.4607816127132387,68.90982503364738,62.1438263229308,74.30711610486891,0.6711285007803153,0.6058320498977433,17,32,0.001
6,['subject103' 'subject106'],2.304138408493991,2.451412035992136,1.4530229999396291,59.97171145685997,58.546433378196504,72.03166226912928,0.5215450196156906,0.5609461918491827,17,32,0.001
7,['subject103' 'subject106'],1.7977888099809705,1.7080677307778867,1.5136537681133049,70.29702970297029,66.20879120879121,70.30386740331491,0.6601346016031426,0.6293028873645989,20,32,0.001
8,['subject103' 'subject106'],1.9684617531181563,2.230817422099559,1.4873486820729827,67.32673267326733,62.20028208744711,66.93280106453759,0.6211888786279192,0.563047917583274,10,32,0.001
9,['subject101' 'subject104'],3.59550580117531,2.6337455574502338,1.6416385883337263,49.92947813822285,57.97872340425532,67.89437109103544,0.4579667953024067,0.553367279474257,7,32,0.001
10,['subject101' 'subject104'],2.6889932972756023,2.395935685865665,1.6009332372325762,59.23836389280677,61.37640449438202,69.62616822429906,0.549931403120568,0.579435712714327,14,32,0.001
11,['subject101' 'subject104'],2.5270493968753787,1.8146343678653407,1.6629073857667604,62.62341325811001,67.08683473389355,69.48790896159318,0.5757443768724395,0.5893957848892988,18,32,0.001
