,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],1.3885971759701823,1.4738261948363456,1.4919524666928259,49.862637362637365,46.8371467025572,46.82822523164647,0.3307016892296299,0.32687232636123076,15,32,0.001
1,['subject102' 'subject107'],1.4447180596026745,1.5900962855218999,1.508822456082349,52.88461538461539,44.837340876944836,45.49731182795699,0.3660512433958528,0.2923088950051629,19,32,0.001
2,['subject102' 'subject107'],1.642146409867884,1.83082017037697,1.6965792461010354,35.85164835164835,34.132581100141046,37.03190013869626,0.23460968139435598,0.24244309219249077,10,32,0.001
3,['subject105' 'subject108'],1.7242660267356267,1.582712627509061,1.6246633226177114,44.01076716016151,45.65826330532213,44.60285132382892,0.30006326394364397,0.32554953103836853,14,32,0.001
4,['subject105' 'subject108'],1.660596715489435,1.5494350276640139,1.5130188589329485,41.318977119784655,45.45454545454545,49.23076923076923,0.29819896902829945,0.33934782997613483,17,32,0.001
5,['subject105' 'subject108'],1.6183795698719101,1.436943594442132,1.6160397388515402,40.5114401076716,48.30393487109905,44.71910112359551,0.2459493046419846,0.3653364988562827,18,32,0.001
6,['subject103' 'subject106'],1.6687132634401658,1.7060599752261854,1.4855629178687466,42.14992927864215,41.318977119784655,48.93767705382436,0.30360278305599814,0.294168682665017,18,32,0.001
7,['subject103' 'subject106'],1.5088606016470654,1.4959711612580897,1.571708621948495,42.432814710042436,45.604395604395606,44.71086036671368,0.32197785875278206,0.34668891447465766,16,32,0.001
8,['subject103' 'subject106'],1.4930696598711244,1.577896635690428,1.643407837149319,44.6958981612447,44.851904090267986,45.02652519893899,0.32952591963366185,0.3124530130790526,6,32,0.001
9,['subject101' 'subject104'],1.7374446065873117,1.7274284261338255,1.5966145661142137,36.248236953455574,41.888297872340424,42.148148148148145,0.2224214172804519,0.2523462147095715,18,32,0.001
10,['subject101' 'subject104'],1.5757837509066497,1.5261467380470104,1.5330731004435778,44.851904090267986,47.47191011235955,51.778385772913815,0.35256860367330967,0.35873461749123303,11,32,0.001
11,['subject101' 'subject104'],1.5825303533181485,1.5193879629383569,1.4850075624883174,37.65867418899859,40.33613445378151,49.513888888888886,0.29022086911444966,0.2950598128720985,19,32,0.001
