,Test_Subjects,Test_Losses,Best_Val_Losses,Best_Train_Losses,Test_Accuracies,Best_Val_Accuracies,Best_Train_Accuracies,Test_F1s,Best_Val_F1s,Best_Val_Epochs,Batch_Size,Learning_Rate
0,['subject102' 'subject107'],5.043673659418966,4.616996459652887,4.153290348995643,27.747252747252748,32.83983849259758,35.78643578643579,0.2551541756244444,0.2620561715080015,19,32,0.001
1,['subject102' 'subject107'],3.9457503932190465,3.9952273651683514,4.2612401352969815,42.582417582417584,45.96888260254597,37.228831350594824,0.3206161634169635,0.3772139133850249,20,32,0.001
2,['subject102' 'subject107'],4.096251601632173,4.028282096081417,4.17998931689795,37.77472527472528,30.324400564174894,32.98497713912476,0.32535369391837615,0.2659932014956784,19,32,0.001
3,['subject105' 'subject108'],5.663945801087316,5.524700518081836,5.2632503432395925,37.55047106325706,34.593837535014,34.81012658227848,0.28089644503667033,0.27535283265121974,18,32,0.001
4,['subject105' 'subject108'],4.841008518537955,4.877942556329878,4.089308453066914,31.35935397039031,28.715728715728716,34.29951690821256,0.2435568513342722,0.2203440879851938,20,32,0.001
5,['subject105' 'subject108'],3.713580659388854,4.206852945899705,3.564000787091686,39.703903095558545,34.32835820895522,43.3240611961057,0.3137264381746409,0.3303472513428952,19,32,0.001
6,['subject103' 'subject106'],6.181272330176206,7.1629913774184875,6.033333767978848,27.157001414427157,25.168236877523555,28.712174524982405,0.2629685432787444,0.22136329476886718,20,32,0.001
7,['subject103' 'subject106'],4.309574373203423,4.599622532970958,3.826879618185828,41.584158415841586,36.26373626373626,39.28815879534565,0.33640894432013824,0.2986053681288988,18,32,0.001
8,['subject103' 'subject106'],5.015710884191444,3.8125763832261765,4.074102620911742,32.10749646393211,38.5049365303244,35.50773369199731,0.29479452758628844,0.34041713156374365,20,32,0.001
9,['subject101' 'subject104'],7.5950879095639765,8.054602617913105,5.793687453105532,22.002820874471087,19.148936170212767,24.0,0.16698846144564516,0.16303027993415659,20,32,0.001
10,['subject101' 'subject104'],4.660646660539764,4.481854367791937,4.571116644369421,26.23413258110014,26.96629213483146,30.76923076923077,0.22668476481374208,0.22999225040077576,18,32,0.001
11,['subject101' 'subject104'],5.76542363062564,4.713440752162986,4.086818759289402,33.14527503526093,37.53501400560224,42.49485949280329,0.2580909355611412,0.31134250975643046,20,32,0.001
