,Val Subjects,Batch_Size,Learning_Rate,Epoch_Results
0,['subject104' 'subject105'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': 'subject104-subject105', 'train_loss': [2.811545812321312, 1.3272066235395694, 0.8681345114972671, 0.7524310189573512, 0.632033710130402, 0.5287573803438742, 0.4877170656067506, 0.3633010624079996, 0.3349490086230608, 0.28790841179880894, 0.3757286925112288, 0.2529907939053721, 0.15099118037760592, 0.11878479174217203, 0.13523196181359629, 0.12385888209203894, 0.10930296519407329, 0.11096944056257595, 0.08045619652617673, 0.09659156735229894], 'train_acc': [64.65214335910049, 78.70695713281799, 82.57203092059031, 84.04778636683064, 85.66408995080815, 86.99929725931132, 87.35066760365426, 89.03724525650036, 90.4427266338721, 89.95080815179199, 90.30217849613493, 92.48067463106113, 94.51862262825017, 96.0646521433591, 95.92410400562193, 95.78355586788476, 95.5024595924104, 96.27547434996487, 97.68095572733661, 96.6268446943078], 'val_loss': [2.604733516317999, 2.846691612921364, 1.9366396291740489, 2.2805162259173226, 1.6858305019172333, 1.7008250242608072, 1.4687424761094003, 1.721734416897974, 1.499352075813857, 1.6366664615646507, 1.79321047265589, 1.3803520640646625, 1.376145698260491, 1.3044597557062736, 1.2926136510368953, 1.2534266582327929, 1.2375513321618534, 1.2777027146010829, 1.220462999927083, 1.2468328666879545], 'val_acc': [68.50605652759084, 59.757738896366085, 70.92866756393002, 67.02557200538358, 71.73620457604306, 69.17900403768506, 69.85195154777928, 70.12113055181696, 70.39030955585464, 70.12113055181696, 69.98654104979812, 71.60161507402422, 71.8707940780619, 72.54374158815612, 72.8129205921938, 73.0820995962315, 72.67833109017496, 71.60161507402422, 73.21668909825034, 73.35127860026918], 'val_f1': [0.6592371054376813, 0.5941133599922676, 0.6952763525873955, 0.6404368894088514, 0.6898714991475701, 0.6720264542775503, 0.681088097257273, 0.6803226274877409, 0.6731706911191645, 0.6810752947355092, 0.6637497490440367, 0.691245032379507, 0.6988179054229499, 0.7075398548961735, 0.7146118502500537, 0.7143692673020632, 0.7093163596598394, 0.6977066667996636, 0.7161199021355442, 0.719371930526043]}"
1,['subject101' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'val_subjects': 'subject101-subject108', 'train_loss': [3.173788380790591, 1.112017359484854, 0.7739167080894266, 0.4833547873863555, 0.4209768793807098, 0.48177461744418437, 0.4968507968160332, 0.4634554482070894, 0.28830670596559976, 0.35116614981227817, 0.37489045776206903, 0.31968262328337377, 0.24159467500534137, 0.12113793993940195, 0.10874940617573776, 0.10855716025596134, 0.13464547659979345, 0.11275378907164565], 'train_acc': [62.731640356897735, 79.6156485929993, 82.36101578586135, 86.82223747426218, 86.54770075497598, 86.20452985586822, 86.82223747426218, 87.85175017158545, 90.4598490048044, 89.91077556623199, 89.29306794783803, 90.8716540837337, 91.83253260123541, 95.47014413177763, 96.36238846945778, 95.95058339052848, 95.81331503088538, 95.60741249142073], 'val_loss': [2.40000213934726, 2.1306005803964827, 1.9331525298849557, 1.649576861204117, 1.9492783043546695, 2.181008952057252, 1.9923521892486231, 1.563414526872773, 1.977736607706712, 2.114107807719888, 1.8490044513455564, 1.8372671700623096, 1.6920201187961208, 1.6215267798301123, 1.6421436349978, 1.6071624074391164, 1.584752237194378, 1.595773186258786], 'val_acc': [67.41889985895628, 64.45698166431593, 66.85472496473906, 66.57263751763047, 66.00846262341325, 67.84203102961918, 68.9703808180536, 70.38081805359661, 65.72637517630466, 70.38081805359661, 67.55994358251058, 70.66290550070522, 69.3935119887165, 71.08603667136812, 71.36812411847673, 71.08603667136812, 71.65021156558534, 70.66290550070522], 'val_f1': [0.64733313759614, 0.6073647202152654, 0.6256976680763001, 0.6301223320835028, 0.6136194060241171, 0.6395099614849483, 0.6595043003184193, 0.6797643996868898, 0.6272803002719678, 0.6602498481373098, 0.6388822818510884, 0.6768261229054802, 0.6715877553953427, 0.6853932391515511, 0.6903922842881574, 0.6849745520785095, 0.6885042706332032, 0.6794457962689766]}"
2,['subject106' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': 'subject106-subject107', 'train_loss': [2.903157163914242, 1.1944951488952007, 0.9152679581287478, 0.6956287311292548, 0.4444031235928706, 0.529932922568203, 0.4418698507399598, 0.4942858201084715, 0.24414021735266878, 0.19188636935446873, 0.1732664106634366, 0.16957339722427126, 0.14836827653252388, 0.14810688184066254, 0.11110772457250878, 0.14686086108861876, 0.11611579756763027, 0.11520903144986176, 0.1141950613087859, 0.13513503886615605], 'train_acc': [62.25895316804408, 76.85950413223141, 80.02754820936639, 81.8870523415978, 85.39944903581267, 86.36363636363636, 86.22589531680441, 86.70798898071625, 91.73553719008264, 93.31955922865014, 94.21487603305785, 94.14600550964187, 94.76584022038567, 94.62809917355372, 96.69421487603306, 94.35261707988981, 96.07438016528926, 95.52341597796143, 96.00550964187327, 96.14325068870524], 'val_loss': [3.358753868094227, 2.7325005189734632, 1.207571254681831, 1.128558551550974, 1.1446596803247868, 1.4691885915588843, 2.0009470923101174, 1.4801132080424562, 1.1781497279769009, 1.1927609473378145, 1.1979501693553767, 1.101258780322356, 1.1512872217410874, 1.1381185014915391, 1.1564466662660784, 1.2406376991003534, 1.206766126004332, 1.223527727872967, 1.170724524346802, 1.3093294689290633], 'val_acc': [71.00840336134453, 66.38655462184875, 75.91036414565826, 74.78991596638656, 75.35014005602241, 73.80952380952381, 68.34733893557423, 73.80952380952381, 77.3109243697479, 76.47058823529412, 74.92997198879551, 76.05042016806723, 74.64985994397759, 75.49019607843137, 75.21008403361344, 74.08963585434174, 74.92997198879551, 74.64985994397759, 73.94957983193277, 75.07002801120449], 'val_f1': [0.6176247542365599, 0.6132560080368819, 0.7178934030066221, 0.7120707321035521, 0.7077150319225758, 0.6969043553585337, 0.6281977024086739, 0.6766116578394646, 0.7393226506722271, 0.722013538861019, 0.7137233894467278, 0.7243683043806581, 0.7053575656831814, 0.7121736603971818, 0.7112899709076821, 0.6890295624999128, 0.6983650311997451, 0.6943189268649005, 0.6933794900295666, 0.7008474323745211]}"
