,Val Subjects,Batch_Size,Learning_Rate,Epoch_Results
0,['subject104' 'subject105'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': 'subject104-subject105', 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.235), np.float64(1.535), np.float64(1.776), np.float64(1.986), np.float64(2.177), np.float64(2.353), np.float64(2.518), np.float64(2.674), np.float64(2.822), np.float64(2.964), np.float64(3.101), np.float64(3.232), np.float64(3.359), np.float64(3.483), np.float64(3.603), np.float64(3.72), np.float64(3.834), np.float64(3.945), np.float64(4.055), np.float64(4.161)], 'train_loss': [5.560816211063301, 3.691840536231692, 2.7075600375661133, 2.267311967789919, 2.15225601834286, 2.029678676339834, 1.9850143095065795, 1.9760583176467958, 1.7108884860685452, 1.8298695777638005, 1.6285768537244172, 1.7376634517667124, 1.6443356701858454, 1.8458250374824903, 1.7485735043092392, 1.6498641108167533, 1.8871066569012898, 1.7028796741499581, 1.667853425281645, 1.4779363652279502], 'train_acc': [24.378109452736318, 37.274693583273255, 47.43954480796586, 54.146341463414636, 61.143695014662754, 64.87430167597765, 64.7099930118798, 68.3011049723757, 70.32799389778795, 70.24246877296106, 72.11184694628403, 69.74564926372155, 71.52126892573901, 68.39452843772499, 70.13446567586695, 70.79318013343217, 68.27537260468418, 70.18156424581005, 70.71069633883704, 71.64912280701755], 'val_loss': [4.607654558697748, 3.4789663689614625, 3.0510285173418703, 2.753060396073805, 2.6477276377209424, 2.4742837003551292, 2.6640766780437404, 2.59221361912436, 2.6125471723512876, 2.544738023791307, 2.715564152433927, 2.642664977390705, 2.479424869067576, 2.3789748214937316, 2.398928126929426, 2.444043874419714, 2.3473379644057633, 2.367423059160584, 2.4858448213395006, 2.301036536292465], 'val_acc': [32.70524899057874, 36.60834454912517, 43.472409152086136, 49.66352624495289, 51.68236877523553, 51.278600269179, 55.720053835800805, 55.585464333781964, 57.335127860026915, 58.411843876177656, 58.142664872139974, 57.335127860026915, 58.277254374158815, 58.950201884253026, 58.142664872139974, 58.681022880215345, 59.219380888290715, 58.681022880215345, 58.681022880215345, 58.950201884253026], 'val_f1': [0.24727653456989984, 0.30432322494174946, 0.3967366128094701, 0.4554955725019023, 0.4743834596782087, 0.4820094226483218, 0.5316000030282988, 0.5218346914134627, 0.5440763184920117, 0.5599866048463606, 0.5579165996131512, 0.5513646680839916, 0.5644086088003155, 0.5645190949354958, 0.5512236278787486, 0.5631895820311259, 0.5740077770422876, 0.56697198261269, 0.557184690777059, 0.5633881592902907]}"
1,['subject101' 'subject108'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': 'subject101-subject108', 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.218), np.float64(1.514), np.float64(1.752), np.float64(1.96), np.float64(2.148), np.float64(2.322), np.float64(2.485), np.float64(2.639), np.float64(2.786), np.float64(2.926), np.float64(3.06), np.float64(3.19), np.float64(3.316), np.float64(3.438), np.float64(3.556), np.float64(3.672), np.float64(3.784), np.float64(3.894), np.float64(4.002), np.float64(4.107)], 'train_loss': [5.711063384846241, 4.078398445476302, 2.9457212938389308, 2.455917287038432, 2.421556557587215, 2.064540287650273, 1.9248586113267545, 1.8257996196908843, 1.6605495868136366, 1.6740464603764806, 1.5779984234418452, 1.7488829646960344, 1.4111655347408716, 1.5229514615594848, 1.34709380936385, 1.3905974536595325, 1.4817526926088767, 1.419781739992446, 1.3035425358394097, 1.4488784354875692], 'train_acc': [24.005486968449933, 36.511156186612574, 45.0, 51.31944444444444, 53.92857142857143, 61.21593291404612, 62.33243967828418, 64.95669553630913, 66.54904728299223, 68.56950973807925, 70.73342736248237, 68.58085808580859, 71.9762062128222, 70.52341597796143, 73.15614617940199, 75.17385257301808, 72.1093202522775, 72.8952772073922, 74.96551724137932, 73.92807745504841], 'val_loss': [4.9911652786581024, 3.6315900619891806, 3.016547162802982, 2.7157160199506074, 2.674200626034342, 2.6845164872411695, 2.360134724685226, 2.50231421735185, 2.430188678289082, 2.3025988254575283, 2.292438898261831, 2.283571659672706, 2.3210318478925105, 2.270956091318747, 2.4572801710922816, 2.318752031676781, 2.4332160402210206, 2.4489235787892816, 2.3238801638909705, 2.433558692275553], 'val_acc': [29.478138222849083, 35.26093088857546, 40.90267983074753, 46.685472496473906, 50.916784203102964, 51.198871650211565, 56.69957686882934, 56.558533145275035, 58.110014104372354, 61.7771509167842, 60.22566995768688, 62.62341325811001, 62.05923836389281, 61.7771509167842, 62.20028208744711, 63.751763046544426, 60.93088857545839, 63.18758815232722, 64.17489421720734, 62.34132581100141], 'val_f1': [0.220756544363566, 0.27472296524188833, 0.3528864512792709, 0.4044478411389426, 0.4439124124364615, 0.4380318826817002, 0.5044922463684274, 0.5081537655888599, 0.5292579900112422, 0.5780212807908002, 0.5601055346618331, 0.5795963026206911, 0.5791644424000004, 0.569624625050744, 0.5801419037964934, 0.601836038161828, 0.5788307288276258, 0.5951665743793151, 0.6050714512837314, 0.5937697950615881]}"
2,['subject106' 'subject107'],32,0.001,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'val_subjects': 'subject106-subject107', 'noise_scale': [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'achieved_epsilon': [np.float64(1.218), np.float64(1.514), np.float64(1.752), np.float64(1.96), np.float64(2.148), np.float64(2.322), np.float64(2.485), np.float64(2.639), np.float64(2.786), np.float64(2.926), np.float64(3.06), np.float64(3.19), np.float64(3.316), np.float64(3.438), np.float64(3.556), np.float64(3.672), np.float64(3.784), np.float64(3.894), np.float64(4.002), np.float64(4.107)], 'train_loss': [5.716330929594422, 3.729640670651384, 2.9351059956906953, 2.371813348785992, 2.1822266791776945, 2.2016650519797802, 1.9472380995335064, 1.677779423730415, 1.6291209377437184, 1.5285263854282098, 1.5988015968585227, 1.6110353400874695, 1.6025119568894708, 1.5676186926262818, 1.6604315857631882, 1.2597387433847322, 1.4143886494587175, 1.4757144911648477, 1.3969937725575676, 1.4160190105914752], 'train_acc': [24.489795918367346, 38.603988603988604, 42.06405693950178, 51.52354570637119, 54.166666666666664, 57.505285412262154, 60.55749128919861, 64.70175438596492, 64.68114926419061, 67.56373937677054, 68.63417982155113, 68.96321070234114, 68.2659355723098, 69.3033381712627, 69.8459280997799, 73.18212141427618, 72.39475500345065, 72.3972602739726, 72.4376731301939, 73.61758827448368], 'val_loss': [5.1688710927796295, 3.6458286362535812, 2.754056130470682, 2.568015791371423, 2.2922886899706363, 2.2198882526209376, 2.0937446074492456, 1.907084336217378, 1.76759665035734, 1.7764805644667114, 1.7258688605048744, 1.716631221921504, 1.6260174552933508, 1.568054450326273, 1.6286046824702363, 1.5744631707835264, 1.6504421213260885, 1.6124385514346158, 1.7131088644850487, 1.7217134163827121], 'val_acc': [31.65266106442577, 41.1764705882353, 48.03921568627451, 54.48179271708683, 60.64425770308123, 62.88515406162465, 63.58543417366947, 66.66666666666667, 68.34733893557423, 70.58823529411765, 72.40896358543418, 71.1484593837535, 68.90756302521008, 71.28851540616246, 70.72829131652661, 73.38935574229691, 72.6890756302521, 71.70868347338936, 73.24929971988796, 71.98879551820728], 'val_f1': [0.2555915059015365, 0.3480879032798194, 0.43282726086003553, 0.49402904083938287, 0.5562116221067424, 0.5721126977642242, 0.5850560263322699, 0.6142433563240064, 0.631610220791063, 0.6557737308178624, 0.6749598549799862, 0.6585123004711533, 0.6389913461817139, 0.6592415056868928, 0.6630035800232119, 0.6830469703529696, 0.6791034721221902, 0.6609550767957073, 0.6816291749535048, 0.6719677723809806]}"
